filename,status,pages,words
2025_review_generative_ai_computer_science_education_challenges.pdf,ok,13,8791
2026_evaluating_ai_generated_c_code_computing_education.pdf,ok,18,6712
2024_detecting_llm_generated_text_computing_education_comparative.pdf,ok,6,5561
2025_plan_acm_task_forceworking_group_ethical_societal.pdf,ok,2,1517
2024_kattis_vs_chatgpt_assessment_evaluation_programming_tasks.pdf,ok,7,5617
2025_generative_ai_postgraduate_computing_research_sub_saharan.pdf,ok,5,4715
2025_harnessing_generative_ai_chemical_engineering_education_implementation.pdf,ok,11,10971
2024_does_industry_5_0_need_engineering_education.pdf,ok,10,7183
2025_beyond_benefits_systematic_review_harms_consequences_generative.pdf,ok,18,18784
2024_enhancing_engineering_education_through_llm_driven_adaptive.pdf,ok,8,6306
2025_peer_assessment_leveraging_large_language_models_software.pdf,ok,40,34951
2026_summative_assessment_generative_ai_usage_within_academic.pdf,ok,4,4090
2023_chat_overflow_artificially_intelligent_models_computing_education.pdf,ok,2,1819
2024_experience_report_adopting_ai_usage_policy_software.pdf,ok,2,1582
2026_academic_integrity_students_ethical_use_chatgpt_higher.pdf,ok,29,14225
2025_integrating_large_language_model_ai_classroom_helping.pdf,ok,2,1730
2025_work_progress_investigating_chatgpt_grading_algebra_problems.pdf,ok,3,2067
2023_chatgpt_versus_engineering_education_assessment_multidisciplinary_multi.pdf,ok,57,28285
2025_pilots_practices_scoping_review_genai_enabled_personalization.pdf,ok,23,10559
2025_accessibility_responsibility_use_generative_ai_ukrainian_students.pdf,ok,10,7538
2025_algorithmic_thinking_risk_exploring_llm_use_computer.pdf,ok,15,5070
2024_bob_bot_exploring_chatgpt_s_answers_university.pdf,ok,32,17598
2024_first_year_cs_students_exploring_identifying_biases.pdf,ok,7,6938
2024_computer_science_education_chatgpt_era_experiences_experiment.pdf,ok,22,11341
2024_more_robots_coming_large_multimodal_models_chatgpt.pdf,ok,10,8720
2024_wip_post_assessment_processes_given_rise_generative.pdf,ok,4,4178
2025_integrating_peer_assessment_cycle_chatgpt_stem_education.pdf,ok,19,12774
2025_framework_assessment_design_era_generative_ai_case.pdf,ok,6,4612
2025_trust_adoption_generative_ai_university_education_opportunities.pdf,ok,10,7873
2025_subjective_intelligence_framework_generative_ai_stem_education.pdf,ok,37,22069
2026_did_alice_do_wrong_cross_cultural_differences.pdf,ok,23,10699
2024_explore_public_s_perspectives_generative_ai_computer.pdf,ok,9,7600
2026_fighting_fire_fire_llm_assisted_grading_handwritten.pdf,ok,7,5920
2024_incorporating_generative_ai_software_development_education.pdf,ok,4,3809
2025_enhancing_chatgpt_4o_s_automated_programming_assignment.pdf,missing,0,0
2025_analysis_generative_ai_policies_computing_course_syllabi.pdf,ok,7,6174
2026_reimagining_feedback_through_generative_ai_engineering_education.pdf,ok,17,15313
2024_decoding_academic_integrity_policies_corpus_linguistics_investigation.pdf,ok,20,9945
2025_navigating_chatgpt_asean_higher_education_ethical_pedagogical.pdf,ok,15,9508
2025_lessons_learned_embedding_generative_ai_cybersecurity_oriented.pdf,ok,2,1620
2025_exploratory_study_senior_computing_uk_academic_faculty.pdf,ok,10,10103
2026_impact_generative_artificial_intelligence_education_comprehensive_analysis.pdf,ok,72,38996
2025_educators_adoption_perceptions_generative_ai_tools_higher.pdf,ok,7,5643
2026_comparison_generative_ai_tools_engineering_education_practical.pdf,ok,16,12361
2025_exploring_students_familiarity_usage_patterns_perceptions_generative.pdf,ok,7,8000
2025_designing_guidelines_responsible_genai_usage_computer_science.pdf,ok,8,7390
2025_students_attitudes_cheating_before_after_chatgpt.pdf,ok,7,6416
2023_thrilled_your_progress_large_language_models_gpt.pdf,ok,15,13739
2024_postgraduate_student_perspective_academic_misconduct_era_essay.pdf,ok,7,6784
2024_navigating_dual_edges_ai_engineering_education_opportunities.pdf,ok,7,5667
2024_beyond_hype_perceptions_realities_large_language_models.pdf,ok,8,5075
2024_unveiling_generative_ai_higher_education_insights_engineering.pdf,ok,5,3363
2025_llm_enhanced_multi_agent_architecture_conversation_assessment.pdf,ok,26,23309
2025_coders_critics_empowering_students_through_peer_assessment.pdf,ok,6,5003
2025_seeing_forest_trees_solving_visual_graph_tree.pdf,ok,10,9544
2025_assessing_student_readiness_perceptions_chatgpt_learning_case.pdf,ok,26,12465
2024_wip_faculty_perceptions_chatgpt_survey_engineering_education.pdf,ok,4,3027
2025_generative_ai_student_software_development_projects_user.pdf,ok,10,8799
2025_advancing_self_directed_learning_stem_education_integrating.pdf,ok,20,9946
2024_chatgpt_classroom_analysis_strengths_weaknesses_solving_undergraduate.pdf,ok,7,6507
2024_llm_individual_contribution_summarization_software_projects.pdf,ok,2,1641
2024_chatgpt_cheat_detection_cs1_program_autograding_system.pdf,ok,7,5210
2024_performance_large_language_model_scoring_construction_management.pdf,ok,13,8951
2025_expanding_possibilities_generative_ai_qualitative_analysis_fostering.pdf,ok,31,21238
2025_role_artificial_intelligence_computer_science_education_systematic.pdf,ok,34,15812
2025_engineering_students_perceptions_use_generative_artificial_intelligence.pdf,ok,12,10883
2025_jorgpt_instructor_aided_grading_programming_assignments_large.pdf,ok,21,9786
2025_leveraging_chatgpt_3_5_automated_evaluation_time.pdf,missing,0,0
2025_chatgpt_engineering_teaching_learning_student_faculty_perspective.pdf,ok,5,3621
2025_learning_without_limits_analysing_usage_generative_ai.pdf,ok,4,3656
2025_what_differences_between_student_chatgpt_generated_pseudocode.pdf,ok,40,16763
2026_generative_artificial_intelligence_assisted_stem_education_systematic.pdf,ok,22,18105
2024_code_generation_grading_evaluating_auto_grading_mechanism.pdf,ok,7,5896
2025_bridging_educational_divide_chatgpt_s_integration_philippine.pdf,ok,28,12435
2025_generative_ai_education_retrieval_augmented_system_effective.pdf,ok,9,6838
2026_ai_anxiety_educational_opportunity_equitable_practical_uses.pdf,ok,13,7601
2025_ai_measurement_learning_challenge_assessment_opportunity_tutoring.pdf,ok,6,3626
2023_chatgpt_ethical_implications_stem_research_higher_education.pdf,ok,24,17989
