filename,category,round1,round2,verdict
2022_automatic_generation_programming_exercises_code_explanations_large.pdf,A_automated_grading,YES,NO,ROUND_1_ONLY
2022_automatic_generation_programming_exercises_code_explanations_large.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2022_automatic_generation_programming_exercises_code_explanations_large.pdf,D_formative_adaptive,YES,NO,ROUND_1_ONLY
2022_automatic_generation_programming_exercises_code_explanations_large.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_.pdf,F_perception_affect,YES,NO,ROUND_1_ONLY
2023_.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023__2614.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023__2614.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023__2623.pdf,A_automated_grading,YES,NO,ROUND_1_ONLY
2023__2623.pdf,D_formative_adaptive,NO,YES,ROUND_2_ONLY
2023__2623.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_addressing_academic_misconduct_age_chatgpt_strategies_solutions.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_addressing_academic_misconduct_age_chatgpt_strategies_solutions.pdf,F_perception_affect,YES,NO,ROUND_1_ONLY
2023_addressing_academic_misconduct_age_chatgpt_strategies_solutions.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_analysis_plagiarism_chatgpt_domain_specific_exams.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_ban_till_understand_resistance_futile_how_university.pdf,B_authentic_assessment,NO,YES,ROUND_2_ONLY
2023_ban_till_understand_resistance_futile_how_university.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_ban_till_understand_resistance_futile_how_university.pdf,F_perception_affect,NO,YES,ROUND_2_ONLY
2023_ban_till_understand_resistance_futile_how_university.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_can_generative_pre_trained_transformers_gpt_pass.pdf,A_automated_grading,YES,NO,ROUND_1_ONLY
2023_can_generative_pre_trained_transformers_gpt_pass.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_can_generative_pre_trained_transformers_gpt_pass.pdf,D_formative_adaptive,YES,NO,ROUND_1_ONLY
2023_can_generative_pre_trained_transformers_gpt_pass.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_chat_overflow_artificially_intelligent_models_computing_education.pdf,A_automated_grading,YES,NO,ROUND_1_ONLY
2023_chat_overflow_artificially_intelligent_models_computing_education.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_chatgpt_can_you_generate_solutions_my_coding.pdf,D_formative_adaptive,YES,NO,ROUND_1_ONLY
2023_chatgpt_can_you_generate_solutions_my_coding.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_chatgpt_ethical_implications_stem_research_higher_education.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_chatgpt_ethical_implications_stem_research_higher_education.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_chatgpt_game_changer_embedding_emojis_faculty_feedback.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_chatgpt_next_generation_science_learning.pdf,D_formative_adaptive,NO,YES,ROUND_2_ONLY
2023_chatgpt_next_generation_science_learning.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_chatgpt_versus_engineering_education_assessment_multidisciplinary_multi.pdf,F_perception_affect,YES,NO,ROUND_1_ONLY
2023_chatgpt_versus_engineering_education_assessment_multidisciplinary_multi.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_enhancing_mathematics_education_through_ai_chatbots_flipped.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_evaluating_performance_code_generation_models_solving_parsons.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_evaluating_performance_code_generation_models_solving_parsons.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_exploring_chatgpt_s_impact_post_secondary_education.pdf,B_authentic_assessment,NO,YES,ROUND_2_ONLY
2023_exploring_chatgpt_s_impact_post_secondary_education.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_exploring_chatgpt_s_impact_post_secondary_education.pdf,D_formative_adaptive,YES,NO,ROUND_1_ONLY
2023_exploring_role_chatgpt_education_applications_challenges.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_exploring_role_chatgpt_education_applications_challenges.pdf,E_ethics_policy,YES,NO,ROUND_1_ONLY
2023_exploring_role_chatgpt_education_applications_challenges.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_my_ai_wants_know_if_will_exam.pdf,A_automated_grading,NO,YES,ROUND_2_ONLY
2023_my_ai_wants_know_if_will_exam.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_my_ai_wants_know_if_will_exam.pdf,D_formative_adaptive,YES,NO,ROUND_1_ONLY
2023_my_ai_wants_know_if_will_exam.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_plagiarism_ai_assistance_misuse_web_programming_unfair.pdf,A_automated_grading,YES,NO,ROUND_1_ONLY
2023_plagiarism_ai_assistance_misuse_web_programming_unfair.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_plagiarism_ai_assistance_misuse_web_programming_unfair.pdf,D_formative_adaptive,YES,NO,ROUND_1_ONLY
2023_plagiarism_ai_assistance_misuse_web_programming_unfair.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_pushing_ethics_assessment_forward_engineering_nlp_assisted.pdf,A_automated_grading,YES,NO,ROUND_1_ONLY
2023_pushing_ethics_assessment_forward_engineering_nlp_assisted.pdf,F_perception_affect,NO,YES,ROUND_2_ONLY
2023_recommendations_create_programming_exercises_overcome_chatgpt.pdf,C_academic_integrity,YES,NO,ROUND_1_ONLY
2023_recommendations_create_programming_exercises_overcome_chatgpt.pdf,E_ethics_policy,YES,NO,ROUND_1_ONLY
2023_recommendations_create_programming_exercises_overcome_chatgpt.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
2023_revolutionizing_formative_assessment_stem_fields_leveraging_ai.pdf,A_automated_grading,YES,NO,ROUND_1_ONLY
2023_revolutionizing_formative_assessment_stem_fields_leveraging_ai.pdf,G_review_methodology,YES,NO,ROUND_1_ONLY
